Weight	Nested	Procedure	Arew	Brew	Crew	topstim	leftstim	rightstim	reinforced1	reinforced2	reinforced3	jitter1	jitter2	compresp	repeatstim
1		halfproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	2648	2362	7	
1		halfproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	4554	3347	3	
1		halfproc	1	0	1	C.bmp	B.bmp	A.bmp	7	0	3	3081	2211	2	
1		doubleproc	0	0	0	C.bmp	B.bmp	A.bmp	0	0	0	3730	2001	7	
1		doubleproc	1	1	1	B.bmp	A.bmp	C.bmp	7	2	3	6770	3406	3	
1		doubleproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	9457	2829	2	
1		normalproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	3422	3023	7	
1		doubleproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	4558	1870	3	
1		normalproc	0	1	0	C.bmp	B.bmp	A.bmp	0	2	0	4159	4498	2	
1		halfproc	0	0	0	C.bmp	B.bmp	A.bmp	0	0	0	4494	1655	7	
1		doubleproc	0	1	0	B.bmp	A.bmp	C.bmp	7	0	0	5533	3359	3	
1		comphalf	0	0	0	A.bmp	C.bmp	B.bmp	0	0	0	3836	2541	2	
1		halfproc	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	2720	1866	7	
1		doubleproc	1	1	0	B.bmp	A.bmp	C.bmp	7	2	0	5182	2085	3	
1		normalproc	0	0	0	C.bmp	A.bmp	B.bmp	0	0	0	2812	4348	2	
1		doubleproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	3628	2042	7	
1		doubleproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	3673	4572	3	
1		normalproc	0	0	0	B.bmp	A.bmp	C.bmp	0	0	0	5483	1583	2	
1		normalproc	0	0	0	A.bmp	B.bmp	C.bmp	0	0	0	6788	1681	7	
1		doubleproc	0	0	1	C.bmp	A.bmp	B.bmp	7	0	0	2968	2495	3	
1		mystnorm	1	1	0	B.bmp	C.bmp	A.bmp	7	0	3	4626	2080	2	
1		halfproc	0	0	0	C.bmp	A.bmp	B.bmp	0	0	0	3161	1535	7	
1		halfproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	2114	4614	3	
1		compdouble	0	1	1	B.bmp	C.bmp	A.bmp	7	2	0	2672	1927	2	
1		doubleproc	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	2774	1785	7	
1		normalproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	2083	1870	3	
1		halfproc	1	0	1	A.bmp	C.bmp	B.bmp	7	2	0	2509	3984	2	
1		doubleproc	1	0	1	C.bmp	B.bmp	A.bmp	7	0	3	2996	2771	7	
1		halfproc	0	1	1	C.bmp	B.bmp	A.bmp	7	2	0	2107	7855	3	
1		halfproc	0	0	1	B.bmp	A.bmp	C.bmp	0	0	3	7639	3185	2	
1		doubleproc	0	0	1	C.bmp	B.bmp	A.bmp	7	0	0	4628	4507	7	
1		halfproc	0	1	1	A.bmp	C.bmp	B.bmp	0	2	3	2027	2696	3	
1		halfproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	2517	2337	2	
1		halfproc	0	1	1	C.bmp	A.bmp	B.bmp	7	0	3	3487	1850	7	
1		doubleproc	0	0	0	B.bmp	C.bmp	A.bmp	0	0	0	2769	2802	3	
1		normalproc	0	1	1	B.bmp	A.bmp	C.bmp	7	0	3	3750	2445	2	
1		mystnorm	1	0	1	A.bmp	C.bmp	B.bmp	7	2	0	3934	1616	7	
1		normalproc	0	0	1	B.bmp	A.bmp	C.bmp	0	0	3	5090	1660	3	
1		normalproc	0	1	1	B.bmp	A.bmp	C.bmp	7	0	3	3920	2411	2	
1		halfproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	8635	1656	7	
1		normalproc	0	0	1	B.bmp	C.bmp	A.bmp	0	2	0	3500	5940	3	
1		normalproc	0	0	1	C.bmp	B.bmp	A.bmp	7	0	0	4197	1819	2	
1		doubleproc	1	1	1	B.bmp	C.bmp	A.bmp	7	2	3	2049	3141	7	
1		normalproc	0	0	1	B.bmp	A.bmp	C.bmp	0	0	3	3176	3713	3	
1		normalproc	0	1	1	A.bmp	B.bmp	C.bmp	0	2	3	2334	1793	2	
1		doubleproc	0	1	1	A.bmp	B.bmp	C.bmp	0	2	3	3793	3082	7	
1		normalproc	0	0	1	A.bmp	C.bmp	B.bmp	0	2	0	3544	4198	3	
1		halfproc	1	0	0	A.bmp	C.bmp	B.bmp	7	0	0	2382	6856	2	
1		doubleproc	1	0	1	B.bmp	C.bmp	A.bmp	0	2	3	2018	1568	7	
1		normalproc	0	1	1	C.bmp	B.bmp	A.bmp	7	2	0	3293	2078	3	
1		normalproc	0	0	1	C.bmp	B.bmp	A.bmp	7	0	0	2155	1725	2	
1		doubleproc	0	1	1	B.bmp	A.bmp	C.bmp	7	0	3	2605	1594	7	
1		halfproc	0	0	1	A.bmp	B.bmp	C.bmp	0	0	3	3133	2078	3	
1		mystnorm	1	1	1	C.bmp	B.bmp	A.bmp	7	2	3	2063	1629	2	
1		halfproc	0	0	1	C.bmp	A.bmp	B.bmp	7	0	0	2386	3540	7	
